5437	5000	1	7	0.1	96.6
72463	5000	1	7	0.1	56.2
97856	5000	1	7	0.1	86.0
7105	5000	1	7	0.1	70.6
3189	5000	1	7	0.1	96.0
13594	5000	1	7	0.1	81.0
4	5000	1	7	0.1	58.6
Media:5000	1	7	0.1	76.08
1234	5000	1	7	0.01	70.6
242359	5000	1	7	0.01	87.0
986	5000	1	7	0.01	51.6
5437	5000	1	7	0.01	99.6
72463	5000	1	7	0.01	54.4
97856	5000	1	7	0.01	83.0
7105	5000	1	7	0.01	68.8
3189	5000	1	7	0.01	91.4
13594	5000	1	7	0.01	81.0
4	5000	1	7	0.01	55.6
Media:5000	1	7	0.01	74.29999999999998
1234	5000	1	7	0.001	60.8
242359	5000	1	7	0.001	77.4
986	5000	1	7	0.001	46.0
5437	5000	1	7	0.001	86.6
72463	5000	1	7	0.001	42.8
97856	5000	1	7	0.001	68.6
7105	5000	1	7	0.001	53.0
3189	5000	1	7	0.001	80.0
13594	5000	1	7	0.001	64.4
4	5000	1	7	0.001	39.8
Media:5000	1	7	0.001	61.93999999999998
1234	5000	1	7	1.0E-4	39.4
242359	5000	1	7	1.0E-4	59.2
986	5000	1	7	1.0E-4	45.4
5437	5000	1	7	1.0E-4	54.0
72463	5000	1	7	1.0E-4	40.4
97856	5000	1	7	1.0E-4	52.0
7105	5000	1	7	1.0E-4	43.2
3189	5000	1	7	1.0E-4	66.6
13594	5000	1	7	1.0E-4	59.8
4	5000	1	7	1.0E-4	30.0
Media:5000	1	7	1.0E-4	48.99999999999999
1234	5000	1	7	1.0E-5	40.4
242359	5000	1	7	1.0E-5	50.4
986	5000	1	7	1.0E-5	43.4
5437	5000	1	7	1.0E-5	50.0
72463	5000	1	7	1.0E-5	46.6
97856	5000	1	7	1.0E-5	47.0
7105	5000	1	7	1.0E-5	41.8
3189	5000	1	7	1.0E-5	63.2
13594	5000	1	7	1.0E-5	63.8
4	5000	1	7	1.0E-5	31.4
Media:5000	1	7	1.0E-5	47.8
1234	5000	1	8	0.1	70.8
242359	5000	1	8	0.1	90.8
986	5000	1	8	0.1	53.2
5437	5000	1	8	0.1	102.2
72463	5000	1	8	0.1	56.8
97856	5000	1	8	0.1	85.4
7105	5000	1	8	0.1	69.2
3189	5000	1	8	0.1	93.6
13594	5000	1	8	0.1	81.0
4	5000	1	8	0.1	59.2
Media:5000	1	8	0.1	76.22000000000001
1234	5000	1	8	0.01	69.2
242359	5000	1	8	0.01	90.2
986	5000	1	8	0.01	48.8
5437	5000	1	8	0.01	96.8
72463	5000	1	8	0.01	53.4
97856	5000	1	8	0.01	79.8
7105	5000	1	8	0.01	65.2
3189	5000	1	8	0.01	90.4
13594	5000	1	8	0.01	81.0
4	5000	1	8	0.01	55.8
Media:5000	1	8	0.01	73.05999999999999
1234	5000	1	8	0.001	58.4
242359	5000	1	8	0.001	69.2
986	5000	1	8	0.001	48.6
5437	5000	1	8	0.001	88.6
72463	5000	1	8	0.001	36.4
97856	5000	1	8	0.001	68.6
7105	5000	1	8	0.001	55.6
3189	5000	1	8	0.001	81.2
13594	5000	1	8	0.001	65.8
4	5000	1	8	0.001	41.0
Media:5000	1	8	0.001	61.339999999999996
1234	5000	1	8	1.0E-4	32.6
242359	5000	1	8	1.0E-4	49.2
986	5000	1	8	1.0E-4	44.0
5437	5000	1	8	1.0E-4	43.8
72463	5000	1	8	1.0E-4	35.8
97856	5000	1	8	1.0E-4	46.8
7105	5000	1	8	1.0E-4	40.4
3189	5000	1	8	1.0E-4	57.6
13594	5000	1	8	1.0E-4	56.4
4	5000	1	8	1.0E-4	31.2
Media:5000	1	8	1.0E-4	43.78
1234	5000	1	8	1.0E-5	40.6
242359	5000	1	8	1.0E-5	43.4
986	5000	1	8	1.0E-5	45.4
5437	5000	1	8	1.0E-5	37.8
72463	5000	1	8	1.0E-5	42.6
97856	5000	1	8	1.0E-5	50.2
7105	5000	1	8	1.0E-5	41.4
3189	5000	1	8	1.0E-5	63.0
13594	5000	1	8	1.0E-5	58.0
4	5000	1	8	1.0E-5	34.6
Media:5000	1	8	1.0E-5	45.7
1234	5000	1	9	0.1	69.4
242359	5000	1	9	0.1	91.0
986	5000	1	9	0.1	52.2
5437	5000	1	9	0.1	102.0
72463	5000	1	9	0.1	55.2
97856	5000	1	9	0.1	81.4
7105	5000	1	9	0.1	72.0
3189	5000	1	9	0.1	95.8
13594	5000	1	9	0.1	79.4
4	5000	1	9	0.1	59.0
Media:5000	1	9	0.1	75.74
1234	5000	1	9	0.01	64.6
242359	5000	1	9	0.01	85.0
986	5000	1	9	0.01	52.0
5437	5000	1	9	0.01	98.2
72463	5000	1	9	0.01	51.8
97856	5000	1	9	0.01	77.8
7105	5000	1	9	0.01	64.8
3189	5000	1	9	0.01	91.0
13594	5000	1	9	0.01	72.8
4	5000	1	9	0.01	57.2
Media:5000	1	9	0.01	71.52000000000001
1234	5000	1	9	0.001	56.8
242359	5000	1	9	0.001	75.6
986	5000	1	9	0.001	49.6
5437	5000	1	9	0.001	86.4
72463	5000	1	9	0.001	40.0
97856	5000	1	9	0.001	65.6
7105	5000	1	9	0.001	50.6
3189	5000	1	9	0.001	78.2
13594	5000	1	9	0.001	69.0
4	5000	1	9	0.001	35.0
Media:5000	1	9	0.001	60.67999999999999
1234	5000	1	9	1.0E-4	35.8
242359	5000	1	9	1.0E-4	38.8
986	5000	1	9	1.0E-4	43.2
5437	5000	1	9	1.0E-4	36.0
72463	5000	1	9	1.0E-4	41.8
97856	5000	1	9	1.0E-4	40.6
7105	5000	1	9	1.0E-4	41.4
3189	5000	1	9	1.0E-4	53.0
13594	5000	1	9	1.0E-4	57.6
4	5000	1	9	1.0E-4	31.4
Media:5000	1	9	1.0E-4	41.96
1234	5000	1	9	1.0E-5	32.4
242359	5000	1	9	1.0E-5	42.6
986	5000	1	9	1.0E-5	47.6
5437	5000	1	9	1.0E-5	39.6
72463	5000	1	9	1.0E-5	39.2
97856	5000	1	9	1.0E-5	44.6
7105	5000	1	9	1.0E-5	39.6
3189	5000	1	9	1.0E-5	53.2
13594	5000	1	9	1.0E-5	58.6
4	5000	1	9	1.0E-5	24.4
Media:5000	1	9	1.0E-5	42.17999999999999
1234	5000	1	10	0.1	71.8
242359	5000	1	10	0.1	88.8
986	5000	1	10	0.1	50.6
5437	5000	1	10	0.1	99.4
72463	5000	1	10	0.1	56.8
97856	5000	1	10	0.1	82.6
7105	5000	1	10	0.1	67.8
3189	5000	1	10	0.1	92.2
13594	5000	1	10	0.1	80.8
4	5000	1	10	0.1	57.6
Media:5000	1	10	0.1	74.84
1234	5000	1	10	0.01	66.8
242359	5000	1	10	0.01	85.0
986	5000	1	10	0.01	52.4
5437	5000	1	10	0.01	97.8
72463	5000	1	10	0.01	49.2
97856	5000	1	10	0.01	81.6
7105	5000	1	10	0.01	66.0
3189	5000	1	10	0.01	92.4
13594	5000	1	10	0.01	71.8
4	5000	1	10	0.01	52.6
Media:5000	1	10	0.01	71.55999999999999
1234	5000	1	10	0.001	56.4
242359	5000	1	10	0.001	66.6
986	5000	1	10	0.001	41.2
5437	5000	1	10	0.001	81.0
72463	5000	1	10	0.001	43.6
97856	5000	1	10	0.001	67.0
7105	5000	1	10	0.001	47.0
3189	5000	1	10	0.001	75.8
13594	5000	1	10	0.001	60.4
4	5000	1	10	0.001	40.6
Media:5000	1	10	0.001	57.96
1234	5000	1	10	1.0E-4	35.2
242359	5000	1	10	1.0E-4	38.8
986	5000	1	10	1.0E-4	46.8
5437	5000	1	10	1.0E-4	35.6
72463	5000	1	10	1.0E-4	37.8
97856	5000	1	10	1.0E-4	46.0
7105	5000	1	10	1.0E-4	29.4
3189	5000	1	10	1.0E-4	54.2
13594	5000	1	10	1.0E-4	55.8
4	5000	1	10	1.0E-4	23.4
Media:5000	1	10	1.0E-4	40.3
1234	5000	1	10	1.0E-5	33.6
242359	5000	1	10	1.0E-5	41.8
986	5000	1	10	1.0E-5	43.8
5437	5000	1	10	1.0E-5	38.2
72463	5000	1	10	1.0E-5	39.4
97856	5000	1	10	1.0E-5	42.4
7105	5000	1	10	1.0E-5	33.6
3189	5000	1	10	1.0E-5	53.4
13594	5000	1	10	1.0E-5	55.2
4	5000	1	10	1.0E-5	32.8
Media:5000	1	10	1.0E-5	41.42
1234	5000	1	15	0.1	70.6
242359	5000	1	15	0.1	88.6
986	5000	1	15	0.1	53.2
5437	5000	1	15	0.1	102.4
72463	5000	1	15	0.1	55.2
97856	5000	1	15	0.1	86.0
7105	5000	1	15	0.1	66.0
3189	5000	1	15	0.1	95.8
13594	5000	1	15	0.1	79.2
4	5000	1	15	0.1	60.0
Media:5000	1	15	0.1	75.7
1234	5000	1	15	0.01	64.8
242359	5000	1	15	0.01	81.8
986	5000	1	15	0.01	45.8
5437	5000	1	15	0.01	93.4
72463	5000	1	15	0.01	50.8
97856	5000	1	15	0.01	71.4
7105	5000	1	15	0.01	67.0
3189	5000	1	15	0.01	87.2
13594	5000	1	15	0.01	67.4
4	5000	1	15	0.01	47.8
Media:5000	1	15	0.01	67.74
1234	5000	1	15	0.001	53.4
242359	5000	1	15	0.001	64.4
986	5000	1	15	0.001	45.6
5437	5000	1	15	0.001	68.8
72463	5000	1	15	0.001	40.6
97856	5000	1	15	0.001	56.8
7105	5000	1	15	0.001	43.2
3189	5000	1	15	0.001	64.6
13594	5000	1	15	0.001	56.0
4	5000	1	15	0.001	37.8
Media:5000	1	15	0.001	53.11999999999999
1234	5000	1	15	1.0E-4	29.4
242359	5000	1	15	1.0E-4	32.6
986	5000	1	15	1.0E-4	42.6
5437	5000	1	15	1.0E-4	33.8
72463	5000	1	15	1.0E-4	39.8
97856	5000	1	15	1.0E-4	47.6
7105	5000	1	15	1.0E-4	29.0
3189	5000	1	15	1.0E-4	54.6
13594	5000	1	15	1.0E-4	55.0
4	5000	1	15	1.0E-4	23.0
