MaxIts It/paso K lambda BeneficiosMedios
5000 60 6 1.0E-4 50.50000000000001
5000 60 6 1.0E-5 51.52
5000 60 7 0.1 72.66000000000001
5000 60 7 0.01 72.06
5000 60 7 0.001 63.32000000000001
5000 60 7 1.0E-4 50.42
5000 60 7 1.0E-5 48.760000000000005
5000 60 8 0.1 72.2
5000 60 8 0.01 71.14
5000 60 8 0.001 60.480000000000004
5000 60 8 1.0E-4 46.92
5000 60 8 1.0E-5 46.559999999999995
5000 60 9 0.1 71.88
5000 60 9 0.01 69.50000000000001
5000 60 9 0.001 59.239999999999995
5000 60 9 1.0E-4 43.519999999999996
5000 60 9 1.0E-5 41.480000000000004
5000 60 10 0.1 71.62
5000 60 10 0.01 68.8
5000 60 10 0.001 57.14
5000 60 10 1.0E-4 40.48
5000 60 10 1.0E-5 42.67999999999999
5000 60 15 0.1 69.33999999999999
5000 60 15 0.01 66.28
5000 60 15 0.001 55.0
5000 60 15 1.0E-4 38.800000000000004
5000 60 15 1.0E-5 38.260000000000005
5000 60 20 0.1 65.6
5000 60 20 0.01 65.32
5000 60 20 0.001 50.9
5000 60 20 1.0E-4 37.959999999999994
5000 60 20 1.0E-5 38.28
5000 60 25 0.1 67.47999999999999
5000 60 25 0.01 65.24
5000 60 25 0.001 49.739999999999995
5000 60 25 1.0E-4 37.58
5000 60 25 1.0E-5 35.82
5000 60 30 0.1 66.44
5000 60 30 0.01 60.279999999999994
5000 60 30 0.001 49.74
5000 60 30 1.0E-4 37.220000000000006
5000 60 30 1.0E-5 36.04
5000 60 40 0.1 67.2
5000 60 40 0.01 60.90000000000001
5000 60 40 0.001 48.88000000000001
5000 60 40 1.0E-4 35.89999999999999
5000 60 40 1.0E-5 34.64
5000 60 50 0.1 66.78
5000 60 50 0.01 59.88000000000001
5000 60 50 0.001 48.1
5000 60 50 1.0E-4 36.92
5000 60 50 1.0E-5 36.660000000000004
5000 60 60 0.1 65.02000000000001
5000 60 60 0.01 60.460000000000015
5000 60 60 0.001 44.980000000000004
5000 60 60 1.0E-4 37.46
5000 60 60 1.0E-5 35.76
5000 60 70 0.1 65.92
5000 60 70 0.01 58.379999999999995
5000 60 70 0.001 44.040000000000006
5000 60 70 1.0E-4 35.44
5000 60 70 1.0E-5 34.059999999999995
5000 70 1 0.1 76.52
5000 70 1 0.01 76.58
5000 70 1 0.001 77.12
5000 70 1 1.0E-4 76.73999999999998
5000 70 1 1.0E-5 76.7
5000 70 2 0.1 75.80000000000001
5000 70 2 0.01 76.24000000000001
5000 70 2 0.001 76.16
5000 70 2 1.0E-4 74.62000000000002
5000 70 2 1.0E-5 74.12
5000 70 3 0.1 75.16
5000 70 3 0.01 74.74000000000001
5000 70 3 0.001 74.58
5000 70 3 1.0E-4 68.75999999999999
5000 70 3 1.0E-5 67.42
5000 70 4 0.1 74.78
5000 70 4 0.01 75.36
5000 70 4 0.001 71.68
5000 70 4 1.0E-4 62.36
5000 70 4 1.0E-5 60.779999999999994
5000 70 5 0.1 73.14
5000 70 5 0.01 73.7
5000 70 5 0.001 68.18
5000 70 5 1.0E-4 58.39999999999999
5000 70 5 1.0E-5 55.3
5000 70 6 0.1 72.55999999999999
5000 70 6 0.01 72.2
5000 70 6 0.001 65.6
5000 70 6 1.0E-4 52.120000000000005
5000 70 6 1.0E-5 51.42
5000 70 7 0.1 72.6
5000 70 7 0.01 71.16
5000 70 7 0.001 63.35999999999999
5000 70 7 1.0E-4 49.980000000000004
5000 70 7 1.0E-5 46.2
5000 70 8 0.1 71.34
5000 70 8 0.01 71.36
5000 70 8 0.001 61.44
5000 70 8 1.0E-4 46.46
5000 70 8 1.0E-5 43.42
5000 70 9 0.1 71.76
5000 70 9 0.01 69.46
5000 70 9 0.001 60.459999999999994
5000 70 9 1.0E-4 42.06
5000 70 9 1.0E-5 41.84
5000 70 10 0.1 70.44000000000001
5000 70 10 0.01 69.46
5000 70 10 0.001 56.56
5000 70 10 1.0E-4 42.14
5000 70 10 1.0E-5 40.92
5000 70 15 0.1 69.28
5000 70 15 0.01 64.55999999999999
5000 70 15 0.001 52.48
5000 70 15 1.0E-4 38.5
5000 70 15 1.0E-5 39.440000000000005
